@relation 'TrainingData_g1-9-weka.filters.unsupervised.attribute.Remove-V-R15,19,25'

@attribute current_AC_bedroom {off,standby,on}
@attribute current_nightlamp_bedroom {off,standby,on}
@attribute class {OtherActivity,g1-9}

@data
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
off,on,g1-9
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
standby,off,OtherActivity
